"Site_ID","Longitude","Latitude",
"CRMS0033","-90.3855","30.27445",
"CRMS0034","-90.3855","30.30348",
"CRMS0118","-89.54172","29.37444",
"CRMS0119","-89.63548","29.47605",
"CRMS0129","-89.60422","29.46879",
"CRMS0135","-89.76048","29.68654",
"CRMS0136","-89.79173","29.62122",
"CRMS0147","-89.60422","29.66476",
"CRMS0148","-89.69798","29.51235",
"CRMS0153","-89.13546","29.11315",
"CRMS0154","-89.19796","29.11315",
"CRMS0162","-89.13546","29.16395",
"CRMS0164","-90.16994","29.19306",
"CRMS0171","-89.79605","29.32377",
"CRMS0172","-89.73433","29.31653",
"CRMS0173","-89.72993","29.4543",
"CRMS0174","-89.76302","29.3963",
"CRMS0175","-90.13792","29.2874",
"CRMS0176","-89.79333","29.41078",
"CRMS0178","-90.04698","29.28748",
"CRMS0179","-89.69845","29.39623",
"CRMS0181","-89.70033","29.33823",
"CRMS0184","-90.07272","29.8026",
"CRMS0188","-90.13549","29.79541",
"CRMS0190","-90.26049","29.52686",
"CRMS0192","-90.54175","29.85348",
"CRMS0209","-89.79173","29.49057",
"CRMS0211","-90.47925","29.7809",
"CRMS0219","-90.32299","29.80267",
"CRMS0220","-90.07299","29.56315",
"CRMS0224","-89.91673","29.49782",
"CRMS0225","-90.01048","29.56315",
"CRMS0226","-89.88548","29.51234",
"CRMS0232","-90.01048","29.49783",
"CRMS0237","-89.94798","29.47605",
"CRMS0251","-90.01048","29.5196",
"CRMS0253","-90.07299","29.55589",
"CRMS0268","-90.60425","29.79541",
"CRMS0273","-90.32299","29.81718",
"CRMS0276","-89.94798","29.62121",
"CRMS0278","-90.22924","29.80993",
"CRMS0292","-90.22924","29.14218",
"CRMS0293","-91.19802","29.24379",
"CRMS0294","-90.94801","29.41798",
"CRMS0296","-90.91676","29.41798",
"CRMS0302","-90.91699","29.14783",
"CRMS0303","-91.07301","29.24379",
"CRMS0305","-91.19802","29.38895",
"CRMS0309","-91.19802","29.25105",
"CRMS0310","-90.29328","29.29463",
"CRMS0311","-90.79176","29.21476",
"CRMS0312","-90.3855","29.50508",
"CRMS0315","-90.573","29.40347",
"CRMS0318","-90.32546","29.29465",
"CRMS0319","-90.32471","29.32367",
"CRMS0322","-91.10454","29.24379",
"CRMS0326","-91.07301","29.27282",
"CRMS0327","-91.07301","29.44702",
"CRMS0331","-90.54175","29.58492",
"CRMS0332","-91.04176","29.30185",
"CRMS0335","-90.38772","29.27286",
"CRMS0336","-90.38642","29.32365",
"CRMS0337","-90.35593","29.30915",
"CRMS0338","-90.41821","29.33091",
"CRMS0341","-90.51227","29.30914",
"CRMS0345","-90.76129","29.17122",
"CRMS0347","-90.69962","29.16397",
"CRMS0354","-91.01051","29.33088",
"CRMS0355","-90.54149","29.29663",
"CRMS0367","-90.573","29.62847",
"CRMS0371","-91.07301","29.42524",
"CRMS0374","-90.793","29.1567",
"CRMS0376","-90.85667","29.12767",
"CRMS0381","-90.85426","29.44702",
"CRMS0382","-90.85426","29.4325",
"CRMS0383","-90.94888","29.2075",
"CRMS0385","-90.60425","29.41073",
"CRMS0386","-90.35425","29.4325",
"CRMS0387","-90.323","29.41073",
"CRMS0390","-90.66676","29.46879",
"CRMS0392","-90.66676","29.45428",
"CRMS0394","-90.85426","29.35992",
"CRMS0395","-90.88551","29.35992",
"CRMS0396","-90.88551","29.3454",
"CRMS0397","-90.26049","29.35266",
"CRMS0398","-90.91676","29.38895",
"CRMS0399","-91.10426","29.30185",
"CRMS0400","-90.5105","29.49057",
"CRMS0416","-90.47925","29.47605",
"CRMS0421","-90.82439","29.17122",
"CRMS0434","-90.72926","29.32363",
"CRMS0461","-91.32302","29.58492",
"CRMS0463","-91.32302","29.49057",
"CRMS0464","-91.38552","29.5196",
"CRMS0465","-91.38552","29.54137",
"CRMS0484","-91.44803","29.49056",
"CRMS0488","-91.54178","29.70831",
"CRMS0489","-91.54178","29.59944",
"CRMS0490","-91.51053","29.67928",
"CRMS0494","-91.79178","29.7446",
"CRMS0498","-91.85429","29.49783",
"CRMS0499","-91.85429","29.57041",
"CRMS0504","-91.88554","29.53412",
"CRMS0508","-92.22929","29.64299",
"CRMS0514","-91.82304","29.85347",
"CRMS0517","-91.57303","29.64299",
"CRMS0520","-91.88554","29.58492",
"CRMS0522","-91.82304","29.49782",
"CRMS0524","-91.82304","29.54863",
"CRMS0527","-91.85429","29.70831",
"CRMS0529","-91.91679","29.59944",
"CRMS0530","-92.01054","29.57767",
"CRMS0531","-91.94804","29.85347",
"CRMS0532","-91.94804","29.82444",
"CRMS0536","-92.26054","29.58492",
"CRMS0542","-91.63553","29.80266",
"CRMS0543","-91.63553","29.75186",
"CRMS0544","-91.57303","29.68654",
"CRMS0549","-91.85429","29.8317",
"CRMS0551","-91.54178","29.70105",
"CRMS0553","-93.01057","29.84623",
"CRMS0554","-92.6668","29.83171",
"CRMS0557","-92.66681","29.94058",
"CRMS0560","-92.5418","29.85348",
"CRMS0562","-92.76056","29.76639",
"CRMS0565","-92.44805","29.79541",
"CRMS0567","-92.44805","29.90428",
"CRMS0568","-92.4168","29.78815",
"CRMS0570","-92.38555","29.80267",
"CRMS0571","-92.29179","29.70831",
"CRMS0574","-92.63555","29.79542",
"CRMS0576","-92.4793","29.59219",
"CRMS0580","-92.32305","29.6067",
"CRMS0581","-92.72931","29.66477",
"CRMS0583","-92.91681","29.83896",
"CRMS0584","-92.85431","29.79542",
"CRMS0588","-92.82306","29.77364",
"CRMS0589","-92.82306","29.66477",
"CRMS0590","-92.82306","29.93332",
"CRMS0593","-92.76056","29.99139",
"CRMS0595","-92.63555","29.85348",
"CRMS0599","-92.66681","29.6067",
"CRMS0603","-92.76056","29.80268",
"CRMS0605","-92.91682","29.86074",
"CRMS0608","-92.6668","29.67203",
"CRMS0609","-92.6043","29.63574",
"CRMS0610","-92.63555","29.6067",
"CRMS0615","-92.82306","29.67929",
"CRMS0616","-92.26054","29.73009",
"CRMS0618","-92.26054","29.73735",
"CRMS0619","-92.26054","29.68654",
"CRMS0623","-92.51055","29.63573",
"CRMS0624","-92.88556","29.86074",
"CRMS0626","-92.6043","29.6938",
"CRMS0630","-92.79182","29.78626",
"CRMS0632","-92.38555","29.57041",
"CRMS0633","-92.32304","29.56315",
"CRMS0635","-93.47932","29.91881",
"CRMS0638","-93.51057","29.868",
"CRMS0639","-93.47932","29.88977",
"CRMS0641","-93.51057","29.89703",
"CRMS0642","-93.47932","29.868",
"CRMS0647","-93.47932","29.84623",
"CRMS0650","-93.13557","29.91881",
"CRMS0651","-93.51057","29.96236",
"CRMS0655","-93.41682","29.79542",
"CRMS0656","-93.26057","30.02042",
"CRMS0660","-93.66682","29.91881",
"CRMS0665","-93.69807","29.96236",
"CRMS0669","-93.72932","29.88251",
"CRMS0672","-93.41682","29.83171",
"CRMS0677","-93.54182","29.85349",
"CRMS0680","-93.51057","29.77365",
"CRMS0682","-93.57307","29.82445",
"CRMS0683","-93.66682","29.88977",
"CRMS0685","-93.38557","29.88977",
"CRMS0691","-93.10432","29.96235",
"CRMS0693","-93.63557","29.89703",
"CRMS0978","-90.29251","29.32365",
"CRMS1130","-92.38555","29.70106",
"CRMS1277","-92.4793","29.82445",
"CRMS1413","-93.01057","29.89703",
"CRMS1446","-92.82306","29.92606",
"CRMS1858","-93.51057","29.83897",
"CRMS2154","-93.69807","29.84623",
"CRMS2156","-93.69807","29.87526",
"CRMS2189","-93.76058","29.92606",
"CRMS2219","-93.60432","29.76639",
"CRMS2334","-93.51057","29.88252",
"CRMS2568","-91.35427","29.56315",
"CRMS2785","-91.04176","29.50508",
"CRMS3565","-90.10424","29.49783",
"CRMS3590","-89.94798","29.48331",
"CRMS4455","-90.94801","29.2583",
"CRMS4529","-89.82298","29.46879",
"CRMS4690","-90.04174","29.49783",
